,Id,Values_code,Values_Hour01,Values_Hour02,Values_Hour03,Values_Hour04,Values_Hour05,Values_Hour06,Values_Hour07,Values_Hour08,Values_Hour09,Values_Hour10,Values_Hour11,Values_Hour12,Values_Hour13,Values_Hour14,Values_Hour15,Values_Hour16,Values_Hour17,Values_Hour18,Values_Hour19,Values_Hour20,Values_Hour21,Values_Hour22,Values_Hour23,Values_Hour24,Date
0,Agente,EPMC,874902.37,811130.06,768748.6,744469.99,735272.46,712525.25,667477.72,686707.73,737933.92,786308.49,827395.32,855794.93,877006.72,868503.94,851601.1,834533.09,823721.46,867149.24,1026889.39,1036455.53,997156.93,939934.82,846098.1,737264.97,2015-01-01
1,Agente,EPMC,699781.13,709869.54,696670.76,712739.63,740903.07,791631.78,860626.11,939408.13,1061308.01,1127002.31,1187117.16,1227815.51,1232292.98,1213253.86,1201789.34,1191749.17,1173905.93,1183620.44,1327918.78,1321697.98,1237953.79,1130694.38,1027821.94,929550.82,2015-01-02
2,Agente,EPMC,845367.77,806900.27,777052.4,788981.9,814260.98,853214.06,871143.45,964227.95,1042132.24,1110830.49,1174422.99,1213302.27,1208834.31,1183296.6,1150294.73,1135067.94,1116776.71,1123644.76,1292156.21,1287647.37,1231779.11,1108847.83,1001956.93,973063.72,2015-01-03
3,Agente,EPMC,848403.1,804607.94,774110.78,766400.24,775140.36,773875.85,784375.81,847269.15,917765.04,972199.44,1038504.36,1078997.28,1082296.61,1072594.58,1042906.41,1019592.4,1013269.76,1023151.23,1182284.86,1198453.84,1155918.51,1060257.6,962598.22,830725.98,2015-01-04
4,Agente,EPMC,811468.23,795797.35,753654.14,781283.55,835500.01,914560.51,990633.03,1098402.96,1188727.71,1252057.66,1312454.83,1358315.56,1349637.98,1336665.71,1341175.33,1332419.13,1302718.14,1298798.02,1403991.19,1396780.6,1303091.56,1192559.28,1060380.63,988940.56,2015-01-05
5,Agente,EPMC,897296.15,837465.73,824446.21,833086.79,878245.41,956755.87,1025429.83,1131978.61,1228070.86,1293973.47,1349286.33,1386800.18,1382337.52,1362991.76,1354749.77,1342106.16,1319872.79,1307484.85,1433614.82,1412565.57,1326426.21,1201773.93,1069104.89,931460.84,2015-01-06
6,Agente,EPMC,888104.05,863414.38,846580.03,854559.55,901711.56,974622.74,1049331.02,1139554.74,1221008.31,1302473.59,1350325.88,1394587.21,1384103.31,1360730.21,1364493.97,1348056.39,1323717.2,1309943.81,1414821.73,1412594.03,1319349.59,1208495.19,1078868.56,964899.72,2015-01-07
7,Agente,EPMC,915820.21,871781.48,861529.42,869503.32,914963.03,997885.23,1077273.93,1175588.2,1253292.21,1321418.55,1378203.32,1421036.2,1406483.6,1379522.64,1375342.06,1360268.15,1346756.33,1324136.89,1439295.51,1431325.57,1324683.49,1213067.46,1081715.99,1014317.9,2015-01-08
8,Agente,EPMC,916494.45,867483.3,859894.36,870970.02,913938.11,995618.08,1068928.58,1152648.63,1255180.85,1320755.1,1394436.96,1440151.38,1431144.49,1378053.14,1374413.36,1362131.17,1339197.41,1313533.7,1429403.57,1420507.08,1329894.73,1209943.33,1096144.26,954636.36,2015-01-09
9,Agente,EPMC,919153.12,901833.07,886620.52,889878.73,917839.94,968598.19,1024072.84,1116557.36,1201314.16,1268907.4,1322693.56,1354532.57,1367245.54,1313632.3,1256733.99,1222589.23,1187375.22,1186337.77,1362162.66,1343352.1,1289248.42,1167967.28,1046946.07,967700.84,2015-01-10
10,Agente,EPMC,903809.02,870268.96,843077.84,846147.02,844669.45,857324.88,839677.9,905599.21,993751.6,1050631.48,1091469.52,1119685.14,1125746.07,1092310.12,1061582.31,1064572.58,1046383.78,1050906.57,1197950.25,1214914.15,1171255.84,1090166.24,993820.92,927630.19,2015-01-11
