fecha,region,consumo,mes,dia_semana,fin_de_semana,temperatura
2018-01-01,Antioquia,17.97886218,1,1,0,18.610416666666666
2018-01-02,Antioquia,22.8494018,1,2,0,18.683333333333334
2018-01-03,Antioquia,24.3822027,1,3,0,19.962500000000002
2018-01-04,Antioquia,24.4703588,1,4,0,19.46875
2018-01-05,Antioquia,24.54882308,1,5,0,18.760416666666668
2018-01-06,Antioquia,23.24440501,1,6,1,19.758333333333333
2018-01-07,Antioquia,20.73712722,1,7,1,19.108333333333334
2018-01-08,Antioquia,20.85277159,1,1,0,19.775000000000002
2018-01-09,Antioquia,24.83270572,1,2,0,17.277083333333334
2018-01-10,Antioquia,25.47842814,1,3,0,18.777083333333334
2018-01-11,Antioquia,26.28551556,1,4,0,19.408333333333335
2018-01-12,Antioquia,26.14278631,1,5,0,19.10625
2018-01-13,Antioquia,24.12910545,1,6,1,19.220833333333335
2018-01-14,Antioquia,21.67829032,1,7,1,19.629166666666666
2018-01-15,Antioquia,25.88658897,1,1,0,18.414583333333333
2018-01-16,Antioquia,26.26645818,1,2,0,17.945833333333333
2018-01-17,Antioquia,26.21189601,1,3,0,17.879166666666666
2018-01-18,Antioquia,26.65968579,1,4,0,19.114583333333332
2018-01-19,Antioquia,26.62075039,1,5,0,19.84375
2018-01-20,Antioquia,25.16349292,1,6,1,20.772916666666667
2018-01-21,Antioquia,21.89486878,1,7,1,21.379166666666666
2018-01-22,Antioquia,26.6670706699999,1,1,0,19.991666666666667
2018-01-23,Antioquia,27.48939358,1,2,0,20.825
2018-01-24,Antioquia,27.58508668,1,3,0,21.26595744680851
2018-01-25,Antioquia,27.54275427,1,4,0,20.456818181818182
2018-01-26,Antioquia,27.45634836,1,5,0,19.94468085106383
2018-01-27,Antioquia,25.81694746,1,6,1,21.139130434782608
2018-01-28,Antioquia,21.92664099,1,7,1,20.691111111111113
2018-01-29,Antioquia,27.55534832,1,1,0,21.53333333333333
2018-01-30,Antioquia,27.73694809,1,2,0,21.758695652173913
2018-01-31,Antioquia,27.57121768,1,3,0,21.85
2018-02-01,Antioquia,27.8541262900001,2,4,0,21.36818181818182
2018-02-02,Antioquia,27.26719671,2,5,0,20.33404255319149
2018-02-03,Antioquia,25.0084126,2,6,1,19.056250000000002
2018-02-04,Antioquia,21.83063961,2,7,1,20.79787234042553
2018-02-05,Antioquia,26.67634909,2,1,0,20.608333333333334
2018-02-06,Antioquia,27.24197396,2,2,0,21.091489361702127
2018-02-07,Antioquia,27.77570242,2,3,0,20.7625
2018-02-08,Antioquia,27.7755222999999,2,4,0,21.270833333333332
2018-02-09,Antioquia,27.60097603,2,5,0,20.419148936170213
2018-02-10,Antioquia,25.48199664,2,6,1,22.47083333333333
2018-02-11,Antioquia,21.85405976,2,7,1,20.883333333333333
2018-02-12,Antioquia,26.7124444,2,1,0,21.275000000000002
2018-02-13,Antioquia,27.66190167,2,2,0,21.170833333333334
2018-02-14,Antioquia,27.52652773,2,3,0,20.279166666666665
2018-02-15,Antioquia,27.30629916,2,4,0,20.770833333333332
2018-02-16,Antioquia,27.18347666,2,5,0,21.829166666666666
2018-02-17,Antioquia,25.7245762599999,2,6,1,22.2
2018-02-18,Antioquia,22.46036188,2,7,1,22.270833333333332
2018-02-19,Antioquia,27.27021979,2,1,0,22.212500000000002
